"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"EBAY","eBay Inc.","37.14","33978659950.14","n/a","1998","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/ebay",
"EBAYL","eBay Inc.","26.26","0","n/a","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/ebayl",
"EEX","Emerald Expositions Events, Inc.","12.7","912358170.2","n/a","2017","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/eex",
"ENR","Energizer Holdings, Inc.","44.93","3139469012.96","n/a","2015","Miscellaneous","Industrial Machinery/Components","https://www.nasdaq.com/symbol/enr",
"ENV","Envestnet, Inc","65.39","3148494039.47","n/a","2010","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/env",
"ETSY","Etsy, Inc.","67.22","8037252937.46","n/a","2015","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/etsy",
"EVOP","EVO Payments, Inc.","29.05","769566745.5","n/a","2018","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/evop",
"XELA","Exela Technologies, Inc.","3.34","501474597.3","n/a","2015","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/xela",
"EXLS","ExlService Holdings, Inc.","60.02","2060086806.78","n/a","2006","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/exls",
"FICO","Fair Isaac Corporation","271.63","7896610599.26","n/a","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/fico",
"FTCH","Farfetch Limited","26.91","8069151870","n/a","2018","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/ftch",
"FIS","Fidelity National Information Services, Inc.","113.1","36546478020","n/a","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/fis",
"FNJN","Finjan Holdings, Inc.","2.93","80855811.2","n/a","n/a","Miscellaneous","Multi-Sector Companies","https://www.nasdaq.com/symbol/fnjn",
"FDC","First Data Corporation","26.27","24655079543.66","n/a","2015","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/fdc",
"FLT","FleetCor Technologies, Inc.","246.59","21171828034.39","n/a","2010","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/flt",
"FCEL","FuelCell Energy, Inc.","0.2462","31882264.804","n/a","n/a","Miscellaneous","Industrial Machinery/Components","https://www.nasdaq.com/symbol/fcel",
"GPN","Global Payments Inc.","136.52","21549728962.88","n/a","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/gpn",
"GPRO","GoPro, Inc.","6.5","976620320","n/a","2014","Miscellaneous","Industrial Machinery/Components","https://www.nasdaq.com/symbol/gpro",
"GRVY","GRAVITY Co., Ltd.","64.43","211955564.29","3289703","2005","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/grvy",
"GSKY","GreenSky, Inc.","12.94","789846329.26","n/a","2018","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/gsky",
"GRUB","GrubHub Inc.","69.47","6321726164.43","n/a","2014","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/grub",
"HQY","HealthEquity, Inc.","73.98","4619755080","n/a","2014","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/hqy",
"HPJ","Highpower International Inc","2.9","45123008.2","n/a","n/a","Miscellaneous","Industrial Machinery/Components","https://www.nasdaq.com/symbol/hpj",
"HMSY","HMS Holdings Corp","29.61","2524899981.87","n/a","1992","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/hmsy",
"IIIV","i3 Verticals, Inc.","24.02","631872978.38","n/a","2018","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/iiiv",
"IKNX","Ikonics Corporation","8.22","16304805.66","n/a","n/a","Miscellaneous","Industrial Machinery/Components","https://www.nasdaq.com/symbol/iknx",
"IMAX","Imax Corporation","22.68","1393313798.52","n/a","n/a","Miscellaneous","Industrial Machinery/Components","https://www.nasdaq.com/symbol/imax",
"INWK","InnerWorkings, Inc.","3.62","189224444.52","n/a","2006","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/inwk",
"ITGR","Integer Holdings Corporation","75.42","2452407779.34","n/a","n/a","Miscellaneous","Industrial Machinery/Components","https://www.nasdaq.com/symbol/itgr",
"IDCC","InterDigital, Inc.","65.98","2152094732.4","n/a","n/a","Miscellaneous","Multi-Sector Companies","https://www.nasdaq.com/symbol/idcc",
"IMXI","International Money Express, Inc.","11.66","421891249.78","n/a","2017","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/imxi",
"ISDR","Issuer Direct Corporation","12.37","47386229.06","n/a","n/a","Miscellaneous","Publishing","https://www.nasdaq.com/symbol/isdr",
"KGJI","Kingold Jewelry Inc.","0.8673","57340240.2846","n/a","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/kgji",
"LC","LendingClub Corporation","3.09","1327993054.35","n/a","2014","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/lc",
"LLNW","Limelight Networks, Inc.","3.23","369027541.99","n/a","2007","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/llnw",
"LQDT","Liquidity Services, Inc.","7.71","256799306.13","n/a","2006","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/lqdt",
"LKSD","LSC Communications, Inc.","6.53","217553146.97","n/a","2016","Miscellaneous","Publishing","https://www.nasdaq.com/symbol/lksd",
"LYFT","Lyft, Inc.","78.29","21245368699.39","n/a","2019","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/lyft",
"MARA","Marathon Patent Group, Inc.","0.5205","13283128.77","n/a","n/a","Miscellaneous","Multi-Sector Companies","https://www.nasdaq.com/symbol/mara",
"MCHX","Marchex, Inc.","4.73","175205528.74","n/a","2004","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/mchx",
"MA","Mastercard Incorporated","235.45","238802253279.8","n/a","2006","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/ma",
"MMS","Maximus, Inc.","70.98","4528380478.44","n/a","1997","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/mms",
"MXWL","Maxwell Technologies, Inc.","4.47","205658214.03","n/a","n/a","Miscellaneous","Industrial Machinery/Components","https://www.nasdaq.com/symbol/mxwl",
"MELI","MercadoLibre, Inc.","507.73","22950847600.07","n/a","2007","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/meli",
"MOGU","MOGU Inc.","13.41","1433475735.48","n/a","2018","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/mogu",
"MGI","Moneygram International, Inc.","2.04","114882128.76","n/a","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/mgi",
"MSCI","MSCI Inc","198.84","16834877481.48","n/a","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/msci",
"LABL","Multi-Color Corporation","49.89","1023614283.36","n/a","1987","Miscellaneous","Publishing","https://www.nasdaq.com/symbol/labl",
"NCR","NCR Corporation","27.29","3245942298.66","n/a","n/a","Miscellaneous","Office Equipment/Supplies/Services","https://www.nasdaq.com/symbol/ncr",
"NTES","NetEase, Inc.","241.45","17677161988.2","73212516","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/ntes",
"NTIP","Network-1 Technologies, Inc.","2.6","61763444.6","n/a","n/a","Miscellaneous","Multi-Sector Companies","https://www.nasdaq.com/symbol/ntip",
"EGOV","NIC Inc.","17.09","1154044445.21","n/a","1999","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/egov",
"NLSN","Nielsen N.V.","23.67","8413434584.91","n/a","2011","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/nlsn",
