"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"SAND          ","Sandstorm Gold Ltd","5.48","984368317.4","n/a","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/sand",
"SWM","Schweitzer-Mauduit International, Inc.","38.72","1196331026.88","n/a","n/a","Basic Industries","Paper","https://www.nasdaq.com/symbol/swm",
"SMG","Scotts Miracle-Gro Company (The)","78.58","4349457927.42","n/a","1992","Basic Industries","Agricultural Chemicals","https://www.nasdaq.com/symbol/smg",
"SA","Seabridge Gold, Inc.","12.39","763881252.33","n/a","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/sa",
"SEE","Sealed Air Corporation","46.06","7168439398.4","n/a","n/a","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/see",
"SIC","Select Interior Concepts, Inc.","12.45","321703891.5","n/a","n/a","Basic Industries","Homebuilding","https://www.nasdaq.com/symbol/sic",
"SNES","SenesTech, Inc.","1.22","28612287.9","n/a","2016","Basic Industries","Agricultural Chemicals","https://www.nasdaq.com/symbol/snes",
"SXT","Sensient Technologies Corporation","67.79","2867005185.5","n/a","n/a","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/sxt",
"SMED","Sharps Compliance Corp.","3.66","59054147.58","n/a","n/a","Basic Industries","Environmental Services","https://www.nasdaq.com/symbol/smed",
"SBGL","Sibanye Gold Limited","4.13","2339520414.42","n/a","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/sbgl",
"SMTS","Sierra Metals Inc.","1.6343","267023738.5489","n/a","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/smts",
"SVM","Silvercorp Metals Inc.","2.55","432718782","n/a","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/svm",
"SILV","SilverCrest Metals Inc.","3.2751","279650361.0816","n/a","2018","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/silv",
"SHI","SINOPEC Shangai Petrochemical Company, Ltd.","47.73","5166206183.55","n/a","n/a","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/shi",
"SKY","Skyline Champion Corporation","19","1077552586","n/a","n/a","Basic Industries","Homebuilding","https://www.nasdaq.com/symbol/sky",
"SND","Smart Sand, Inc.","4.45","182510835.95","n/a","2016","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","https://www.nasdaq.com/symbol/snd",
"SQM","Sociedad Quimica y Minera S.A.","38.44","10117274382.56","n/a","1993","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","https://www.nasdaq.com/symbol/sqm",
"XPL","Solitario Zinc Corp.","0.424","24660144.432","n/a","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/xpl",
"SCCO","Southern Copper Corporation","39.68","30674404529.92","n/a","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/scco",
"SSRM","SSR Mining Inc.","12.66","1533440651.64","n/a","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/ssrm",
"STLD","Steel Dynamics, Inc.","35.27","7862786421.95","n/a","1996","Basic Industries","Steel/Iron Ore","https://www.nasdaq.com/symbol/stld",
"SCL","Stepan Company","87.52","1970525140.32","n/a","n/a","Basic Industries","Package Goods/Cosmetics","https://www.nasdaq.com/symbol/scl",
"SRCL","Stericycle, Inc.","54.42","4936066076.04","n/a","1996","Basic Industries","Environmental Services","https://www.nasdaq.com/symbol/srcl",
"STRL","Sterling Construction Company Inc","12.52","330826314.04","n/a","n/a","Basic Industries","Military/Government/Technical","https://www.nasdaq.com/symbol/strl",
"SUM","Summit Materials, Inc.","15.87","1772233624.32","n/a","2015","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","https://www.nasdaq.com/symbol/sum",
"SXCP","SunCoke Energy Partners, L.P.","12.45","575527992.6","n/a","2013","Basic Industries","Steel/Iron Ore","https://www.nasdaq.com/symbol/sxcp",
"SXC","SunCoke Energy, Inc.","8.49","552654758.61","n/a","2011","Basic Industries","Steel/Iron Ore","https://www.nasdaq.com/symbol/sxc",
"SUZ","Suzano Papel e Celulose S.A.","23.69","15981529615.1","n/a","n/a","Basic Industries","Paper","https://www.nasdaq.com/symbol/suz",
"SYNL","Synalloy Corporation","15.2","136266084.8","n/a","n/a","Basic Industries","Steel/Iron Ore","https://www.nasdaq.com/symbol/synl",
"SES","Synthesis Energy Systems, Inc.","0.5411","5969480.132","n/a","n/a","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/ses",
"TANH","Tantech Holdings Ltd.","1.5","43054863","n/a","2015","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/tanh",
"TRX","Tanzanian Royalty Exploration Corporation","0.81","109013309.73","n/a","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/trx",
"TGB","Taseko Mines Limited","0.59","144981419.21","n/a","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/tgb",
"TECK","Teck Resources Ltd","23.18","12961207754.04","n/a","n/a","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","https://www.nasdaq.com/symbol/teck",
"TS","Tenaris S.A.","28.25","16675082723.75","n/a","n/a","Basic Industries","Steel/Iron Ore","https://www.nasdaq.com/symbol/ts",
"TX","Ternium S.A.","27.22","5456911643.68","n/a","n/a","Basic Industries","Steel/Iron Ore","https://www.nasdaq.com/symbol/tx",
"AES","The AES Corporation","18.08","11976266146.08","n/a","n/a","Basic Industries","Electric Utilities: Central","https://www.nasdaq.com/symbol/aes",
"TMST","TimkenSteel Corporation","10.86","486142958.7","n/a","2014","Basic Industries","Steel/Iron Ore","https://www.nasdaq.com/symbol/tmst",
"TWI","Titan International, Inc.","5.97","357879930.39","n/a","n/a","Basic Industries","Steel/Iron Ore","https://www.nasdaq.com/symbol/twi",
"BLD","TopBuild Corp.","64.82","2253492709.44","n/a","2015","Basic Industries","Engineering & Construction","https://www.nasdaq.com/symbol/bld",
"TREX","Trex Company, Inc.","61.52","3621452868.88","n/a","n/a","Basic Industries","Forest Products","https://www.nasdaq.com/symbol/trex",
"TMQ","Trilogy Metals Inc.","2.46","324824163.78","n/a","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/tmq",
"TSE","Trinseo S.A.","45.3","1870429253.7","n/a","2014","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/tse",
"TROX","Tronox Holdings plc","13.15","1239966875.85","n/a","n/a","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/trox",
"TRQ","Turquoise Hill Resources Ltd.","1.66","3340442018.54","n/a","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/trq",
"TPC","Tutor Perini Corporation","17.12","857770978.4","n/a","n/a","Basic Industries","General Bldg Contractors - Nonresidential Bldgs","https://www.nasdaq.com/symbol/tpc",
"SLCA","U.S. Silica Holdings, Inc.","17.36","1275427950.72","n/a","2012","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","https://www.nasdaq.com/symbol/slca",
"UN","Unilever NV","58.29","152383759607.25","n/a","n/a","Basic Industries","Package Goods/Cosmetics","https://www.nasdaq.com/symbol/un",
"UL","Unilever PLC","57.72","151760047604.88","n/a","n/a","Basic Industries","Package Goods/Cosmetics","https://www.nasdaq.com/symbol/ul",
"USLM","United States Lime & Minerals, Inc.","77.12","432641734.72","n/a","n/a","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","https://www.nasdaq.com/symbol/uslm",
"X","United States Steel Corporation","19.49","3378485221.03","n/a","n/a","Basic Industries","Steel/Iron Ore","https://www.nasdaq.com/symbol/x",
"UFPI","Universal Forest Products, Inc.","29.89","1833156718.89","n/a","1993","Basic Industries","Forest Products","https://www.nasdaq.com/symbol/ufpi",
"USAP","Universal Stainless & Alloy Products, Inc.","16.57","145264832.09","n/a","1994","Basic Industries","Steel/Iron Ore","https://www.nasdaq.com/symbol/usap",
"URG","Ur Energy Inc","0.8241","131633001.0123","n/a","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/urg",
"UEC","Uranium Energy Corp.","1.4","252383481","n/a","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/uec",
"MYT","Urban Tea, Inc.","2.18","50434984.52","n/a","n/a","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/myt",
"VALE","VALE S.A.","13.06","66973226277.88","n/a","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/vale",
"VHI","Valhi, Inc.","2.31","783484892.19","n/a","n/a","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/vhi",
"VVV","Valvoline Inc.","18.56","3492631509.12","n/a","2016","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/vvv",
"VNTR","Venator Materials PLC","5.62","598649728.48","n/a","2017","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/vntr",
"VRS","Verso Corporation","21.42","738649272.06","n/a","2016","Basic Industries","Paper","https://www.nasdaq.com/symbol/vrs",
"VSM","Versum Materials, Inc.","50.31","5491032325.74","n/a","2016","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/vsm",
"VGZ","Vista Gold Corporation","0.6824","68542007.0384","n/a","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/vgz",
"VMC","Vulcan Materials Company","118.4","15636854041.6","n/a","n/a","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","https://www.nasdaq.com/symbol/vmc",
