"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"MESA","Mesa Air Group, Inc.","8.34","199350211.02","n/a","2018","Transportation","Air Freight/Delivery Services","https://www.nasdaq.com/symbol/mesa",
"NVGS","Navigator Holdings Ltd.","11","612219344","n/a","2013","Transportation","Marine Transportation","https://www.nasdaq.com/symbol/nvgs",
"NNA","Navios Maritime Acquisition Corporation","6.3","83760163.2","n/a","n/a","Transportation","Marine Transportation","https://www.nasdaq.com/symbol/nna",
"NMCI","Navios Maritime Containers L.P.","2.39","82701409","n/a","n/a","Transportation","Marine Transportation","https://www.nasdaq.com/symbol/nmci",
"NM","Navios Maritime Holdings Inc.","2.38","2968009.94","n/a","n/a","Transportation","Marine Transportation","https://www.nasdaq.com/symbol/nm",
"NMM","Navios Maritime Partners LP","0.9101","152523444.2164","n/a","2007","Transportation","Marine Transportation","https://www.nasdaq.com/symbol/nmm",
"NAO","Nordic American Offshore Ltd.","2.95","182861.65","n/a","2014","Transportation","Marine Transportation","https://www.nasdaq.com/symbol/nao",
"NSC","Norfolk Souther Corporation","186.89","49984725876.14","n/a","n/a","Transportation","Railroads","https://www.nasdaq.com/symbol/nsc",
"ODFL","Old Dominion Freight Line, Inc.","144.39","11716813741.71","n/a","1991","Transportation","Trucking Freight/Courier Services","https://www.nasdaq.com/symbol/odfl",
"OSG","Overseas Shipholding Group, Inc.","2.29","195253850.1","n/a","2015","Transportation","Marine Transportation","https://www.nasdaq.com/symbol/osg",
"PTSI","P.A.M. Transportation Services, Inc.","48.94","289573575.4","n/a","1986","Transportation","Trucking Freight/Courier Services","https://www.nasdaq.com/symbol/ptsi",
"PANL","Pangaea Logistics Solutions Ltd.","3.07","136627556.3","n/a","1996","Transportation","Marine Transportation","https://www.nasdaq.com/symbol/panl",
"PATI","Patriot Transportation Holding, Inc.","18.8","62575160.8","n/a","n/a","Transportation","Trucking Freight/Courier Services","https://www.nasdaq.com/symbol/pati",
"DCIX","Performance Shipping Inc.","1.19","31837082.69","n/a","n/a","Transportation","Marine Transportation","https://www.nasdaq.com/symbol/dcix",
"PXS","Pyxis Tankers Inc.","1.16","24429820.4","n/a","n/a","Transportation","Marine Transportation","https://www.nasdaq.com/symbol/pxs",
"RLGT","Radiant Logistics, Inc.","6.3","311920232.4","n/a","n/a","Transportation","Oil Refining/Marketing","https://www.nasdaq.com/symbol/rlgt",
"RRTS","Roadrunner Transportation Systems, Inc","0.42","394396080.12","n/a","2010","Transportation","Oil Refining/Marketing","https://www.nasdaq.com/symbol/rrts",
"RYAAY","Ryanair Holdings plc","74.94","7555883728.38","100825777","1997","Transportation","Air Freight/Delivery Services","https://www.nasdaq.com/symbol/ryaay",
"SB","Safe Bulkers, Inc","1.46","147799769.74","n/a","2008","Transportation","Marine Transportation","https://www.nasdaq.com/symbol/sb",
"SAIA","Saia, Inc.","61.1","1579135671.1","n/a","n/a","Transportation","Trucking Freight/Courier Services","https://www.nasdaq.com/symbol/saia",
"SNDR","Schneider National, Inc.","21.05","3726367240.6","n/a","2017","Transportation","Trucking Freight/Courier Services","https://www.nasdaq.com/symbol/sndr",
"SALT","Scorpio Bulkers Inc.","3.84","273474270.72","n/a","2013","Transportation","Marine Transportation","https://www.nasdaq.com/symbol/salt",
"SLTB","Scorpio Bulkers Inc.","25.285","0","n/a","2014","Transportation","Marine Transportation","https://www.nasdaq.com/symbol/sltb",
"SBNA","Scorpio Tankers Inc.","25.375","0","n/a","2014","Transportation","Marine Transportation","https://www.nasdaq.com/symbol/sbna",
"STNG","Scorpio Tankers Inc.","19.84","1019715884.8","n/a","2010","Transportation","Marine Transportation","https://www.nasdaq.com/symbol/stng",
"CKH","SEACOR Holdings, Inc.","42.28","775620723.08","n/a","n/a","Transportation","Marine Transportation","https://www.nasdaq.com/symbol/ckh",
"SMHI","SEACOR Marine Holdings Inc.","13.31","280083394.8","n/a","2017","Transportation","Marine Transportation","https://www.nasdaq.com/symbol/smhi",
"SHIP","Seanergy Maritime Holdings Corp","4.1","11521914.3","n/a","n/a","Transportation","Marine Transportation","https://www.nasdaq.com/symbol/ship",
"SHIPW","Seanergy Maritime Holdings Corp","0.03","0","n/a","n/a","Transportation","Marine Transportation","https://www.nasdaq.com/symbol/shipw",
"SSW","Seaspan Corporation","8.7","1875233295.9","n/a","2005","Transportation","Marine Transportation","https://www.nasdaq.com/symbol/ssw",
"SSWA","Seaspan Corporation","25.74","0","n/a","2017","Transportation","Marine Transportation","https://www.nasdaq.com/symbol/sswa",
"SSWN","Seaspan Corporation","25.32","0","n/a","2014","Transportation","Marine Transportation","https://www.nasdaq.com/symbol/sswn",
"SFL","Ship Finance International Limited","12.34","1473093978.5","n/a","n/a","Transportation","Marine Transportation","https://www.nasdaq.com/symbol/sfl",
"SINO","Sino-Global Shipping America, Ltd.","0.8939","13628133.9117","n/a","n/a","Transportation","Oil Refining/Marketing","https://www.nasdaq.com/symbol/sino",
"SKYW","SkyWest, Inc.","54.29","2803957867.62","n/a","1986","Transportation","Air Freight/Delivery Services","https://www.nasdaq.com/symbol/skyw",
"LUV","Southwest Airlines Company","51.91","28690078151.59","n/a","n/a","Transportation","Air Freight/Delivery Services","https://www.nasdaq.com/symbol/luv",
"SAVE","Spirit Airlines, Inc.","52.86","3611869724.22","n/a","n/a","Transportation","Air Freight/Delivery Services","https://www.nasdaq.com/symbol/save",
"SBLK","Star Bulk Carriers Corp.","6.58","612530337.86","n/a","n/a","Transportation","Marine Transportation","https://www.nasdaq.com/symbol/sblk",
"SBLKZ","Star Bulk Carriers Corp.","25.3589","0","n/a","n/a","Transportation","Marine Transportation","https://www.nasdaq.com/symbol/sblkz",
