"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"BZH","Beazer Homes USA, Inc.","11.51","369896720.37","n/a","1994","Capital Goods","Homebuilding","https://www.nasdaq.com/symbol/bzh",
"BELFA","Bel Fuse Inc.","21.43","262833892.52","n/a","n/a","Capital Goods","Electrical Products","https://www.nasdaq.com/symbol/belfa",
"BELFB","Bel Fuse Inc.","25.28","310053233.92","n/a","n/a","Capital Goods","Electrical Products","https://www.nasdaq.com/symbol/belfb",
"BNGO","Bionano Genomics, Inc.","4.36","44020334.52","n/a","2018","Capital Goods","Biotechnology: Laboratory Analytical Instruments","https://www.nasdaq.com/symbol/bngo",
"BNGOW","Bionano Genomics, Inc.","1.15","0","n/a","2018","Capital Goods","Biotechnology: Laboratory Analytical Instruments","https://www.nasdaq.com/symbol/bngow",
"BIO","Bio-Rad Laboratories, Inc.","305.68","9158846518.72","n/a","n/a","Capital Goods","Biotechnology: Laboratory Analytical Instruments","https://www.nasdaq.com/symbol/bio",
"BLBD","Blue Bird Corporation","16.93","446738004.8","n/a","2014","Capital Goods","Construction/Ag Equipment/Trucks","https://www.nasdaq.com/symbol/blbd",
"BXC","BlueLinx Holdings Inc.","26.64","247485600","n/a","2004","Capital Goods","Wholesale Distributors","https://www.nasdaq.com/symbol/bxc",
"BA","Boeing Company (The)","381.42","215304709946.04","n/a","n/a","Capital Goods","Aerospace","https://www.nasdaq.com/symbol/ba",
"BNSO","Bonso Electronics International, Inc.","2.9163","13647172.8897","n/a","n/a","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/bnso",
"BWA","BorgWarner Inc.","38.41","7974280203.62","n/a","n/a","Capital Goods","Auto Parts:O.E.M.","https://www.nasdaq.com/symbol/bwa",
"BWEN","Broadwind Energy, Inc.","1.68","26628115.92","n/a","n/a","Capital Goods","Metal Fabrications","https://www.nasdaq.com/symbol/bwen",
"DOOO","BRP Inc.","27.69","1191778236.87","n/a","n/a","Capital Goods","Industrial Specialties","https://www.nasdaq.com/symbol/dooo",
"BRKR","Bruker Corporation","38.44","6025159904.52","n/a","n/a","Capital Goods","Biotechnology: Laboratory Analytical Instruments","https://www.nasdaq.com/symbol/brkr",
"CSTE","Caesarstone Ltd.","15.61","536492456.71","n/a","2012","Capital Goods","Building Materials","https://www.nasdaq.com/symbol/cste",
"CAMT","Camtek Ltd.","8.92","325072175.48","n/a","2000","Capital Goods","Electronic Components","https://www.nasdaq.com/symbol/camt",
"CRR","Carbo Ceramics, Inc.","3.5","98322756","n/a","n/a","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/crr",
"CAT","Caterpillar, Inc.","135.49","77980285571.62","n/a","n/a","Capital Goods","Construction/Ag Equipment/Trucks","https://www.nasdaq.com/symbol/cat",
"CECE","CECO Environmental Corp.","7.2","251855244","n/a","n/a","Capital Goods","Pollution Control Equipment","https://www.nasdaq.com/symbol/cece",
"CPAC","Cementos Pacasmayo S.A.A.","10","121160000","n/a","n/a","Capital Goods","Building Materials","https://www.nasdaq.com/symbol/cpac",
"CX","Cemex S.A.B. de C.V.","4.64","6960609765.6","n/a","n/a","Capital Goods","Building Materials","https://www.nasdaq.com/symbol/cx",
"CETX","Cemtrex Inc.","0.5","7262565.5","n/a","n/a","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/cetx",
"CETXP","Cemtrex Inc.","1.6352","3450996.3936","n/a","n/a","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/cetxp",
"CETXW","Cemtrex Inc.","0.03","0","n/a","n/a","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/cetxw",
"CCS","Century Communities, Inc.","23.97","726228630.06","n/a","2014","Capital Goods","Homebuilding","https://www.nasdaq.com/symbol/ccs",
"KOOL","Cesca Therapeutics Inc.","0.2909","6443186.8623","n/a","n/a","Capital Goods","Medical Specialities","https://www.nasdaq.com/symbol/kool",
"GTLS","Chart Industries, Inc.","90.52","2860175013.72","n/a","2006","Capital Goods","Metal Fabrications","https://www.nasdaq.com/symbol/gtls",
"CAAS","China Automotive Systems, Inc.","3.22","101837664.88","n/a","n/a","Capital Goods","Auto Parts:O.E.M.","https://www.nasdaq.com/symbol/caas",
"CCCL","China Ceramics Co., Ltd.","1.63","9217343.56","n/a","n/a","Capital Goods","Building Materials","https://www.nasdaq.com/symbol/cccl",
"CXDC","China XD Plastics Company Limited","2.4438","123286877.6358","n/a","n/a","Capital Goods","Containers/Packaging","https://www.nasdaq.com/symbol/cxdc",
"CIR","CIRCOR International, Inc.","32.6","647349903.4","n/a","n/a","Capital Goods","Metal Fabrications","https://www.nasdaq.com/symbol/cir",
"CLIR","ClearSign Combustion Corporation","0.9","24027534.9","n/a","2012","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/clir",
"CNHI","CNH Industrial N.V.","10.2","13809085971.6","n/a","2013","Capital Goods","Construction/Ag Equipment/Trucks","https://www.nasdaq.com/symbol/cnhi",
"CODA","Coda Octopus Group, Inc.","9.37","99992179.88","n/a","n/a","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/coda",
"CGNX","Cognex Corporation","50.86","8715456265.44","n/a","1989","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/cgnx",
"COHR","Coherent, Inc.","141.72","3447564193.08","n/a","n/a","Capital Goods","Biotechnology: Laboratory Analytical Instruments","https://www.nasdaq.com/symbol/cohr",
"COHU","Cohu, Inc.","14.75","601982959","n/a","n/a","Capital Goods","Electrical Products","https://www.nasdaq.com/symbol/cohu",
"CFX","Colfax Corporation","29.68","3482738518.56","n/a","2008","Capital Goods","Fluid Controls","https://www.nasdaq.com/symbol/cfx",
"CFXA","Colfax Corporation","133.13","0","n/a","n/a","Capital Goods","Fluid Controls","https://www.nasdaq.com/symbol/cfxa",
"CMCO","Columbus McKinnon Corporation","34.35","802239887.55","n/a","1996","Capital Goods","Construction/Ag Equipment/Trucks","https://www.nasdaq.com/symbol/cmco",
"FIX","Comfort Systems USA, Inc.","52.39","1931604211.68","n/a","1997","Capital Goods","Engineering & Construction","https://www.nasdaq.com/symbol/fix",
"CVGI","Commercial Vehicle Group, Inc.","7.67","239866924.31","n/a","2004","Capital Goods","Auto Parts:O.E.M.","https://www.nasdaq.com/symbol/cvgi",
"CIX","CompX International Inc.","14.63","181932198.91","n/a","1998","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/cix",
"CHCI","Comstock Holding Companies, Inc.","2.18","8367260.74","n/a","2004","Capital Goods","Homebuilding","https://www.nasdaq.com/symbol/chci",
"CBPX","Continental Building Products, Inc.","24.79","873958608.78","n/a","2014","Capital Goods","Building Materials","https://www.nasdaq.com/symbol/cbpx",
"CUO","Continental Materials Corporation","19.323","32466949.029","n/a","n/a","Capital Goods","Building Materials","https://www.nasdaq.com/symbol/cuo",
"CTRL","Control4 Corporation","16.93","450620849.51","n/a","2013","Capital Goods","Electrical Products","https://www.nasdaq.com/symbol/ctrl",
"CPS","Cooper-Standard Holdings Inc.","46.96","818800148.24","n/a","n/a","Capital Goods","Auto Parts:O.E.M.","https://www.nasdaq.com/symbol/cps",
"CVU","CPI Aerostructures, Inc.","6.5","76230596","n/a","n/a","Capital Goods","Military/Government/Technical","https://www.nasdaq.com/symbol/cvu",
"CPSH","CPS Technologies Corp.","1.54","20337142.98","n/a","n/a","Capital Goods","Building Materials","https://www.nasdaq.com/symbol/cpsh",
"CR","Crane Co.","84.62","5067215093.86","n/a","n/a","Capital Goods","Metal Fabrications","https://www.nasdaq.com/symbol/cr",
"CRH","CRH PLC","31","25091970369","n/a","n/a","Capital Goods","Building Materials","https://www.nasdaq.com/symbol/crh",
"CUB","Cubic Corporation","56.24","1751889047.68","n/a","n/a","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/cub",
"CYBE","CyberOptics Corporation","17.1","121445482.5","n/a","1987","Capital Goods","Electronic Components","https://www.nasdaq.com/symbol/cybe",
"DHI","D.R. Horton, Inc.","41.38","15452248705.6","n/a","n/a","Capital Goods","Homebuilding","https://www.nasdaq.com/symbol/dhi",
"DAN","Dana Incorporated","17.74","2544998335.14","n/a","n/a","Capital Goods","Auto Parts:O.E.M.","https://www.nasdaq.com/symbol/dan",
"DHR","Danaher Corporation","132.02","94485866959.68","n/a","n/a","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/dhr",
"DAIO","Data I/O Corporation","5.55","46317175.35","n/a","1981","Capital Goods","Electrical Products","https://www.nasdaq.com/symbol/daio",
"DE","Deere & Company","159.84","50907997363.68","n/a","n/a","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/de",
"DLPH","Delphi Technologies PLC","19.26","1705119887.16","n/a","2017","Capital Goods","Auto Parts:O.E.M.","https://www.nasdaq.com/symbol/dlph",
"BOOM","DMC Global Inc.","49.64","744030529.92","n/a","n/a","Capital Goods","Industrial Specialties","https://www.nasdaq.com/symbol/boom",
"DCI","Donaldson Company, Inc.","50.06","6390379264","n/a","n/a","Capital Goods","Pollution Control Equipment","https://www.nasdaq.com/symbol/dci",
"DORM","Dorman Products, Inc.","88.09","2906528757.19","n/a","n/a","Capital Goods","Auto Parts:O.E.M.","https://www.nasdaq.com/symbol/dorm",
"PLOW","Douglas Dynamics, Inc.","38.07","864226727.37","n/a","2010","Capital Goods","Construction/Ag Equipment/Trucks","https://www.nasdaq.com/symbol/plow",
"DPW","DPW Holdings, Inc.","0.2898","2393491.527","n/a","n/a","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/dpw",
"DCO","Ducommun Incorporated","43.52","497257518.08","n/a","n/a","Capital Goods","Military/Government/Technical","https://www.nasdaq.com/symbol/dco",
"DXPE","DXP Enterprises, Inc.","38.92","684278285.04","n/a","n/a","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/dxpe",
"DYSL","Dynasil Corporation of America","1.02","17814854.88","n/a","n/a","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/dysl",
"EXP","Eagle Materials Inc","84.3","3869251221.3","n/a","n/a","Capital Goods","Building Materials","https://www.nasdaq.com/symbol/exp",
"EML","Eastern Company (The)","27.52","171488375.68","n/a","n/a","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/eml",
