"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"TYL","Tyler Technologies, Inc.","204.4","7827089200","n/a","n/a","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/tyl",
"UBNT","Ubiquiti Networks, Inc.","149.71","10557861495.06","n/a","2011","Technology","Radio And Television Broadcasting And Communications Equipment","https://www.nasdaq.com/symbol/ubnt",
"UCTT","Ultra Clean Holdings, Inc.","10.35","404795217.15","n/a","2004","Technology","Semiconductors","https://www.nasdaq.com/symbol/uctt",
"UIS","Unisys Corporation","11.67","595573793.67","n/a","n/a","Technology","EDP Services","https://www.nasdaq.com/symbol/uis",
"UMC","United Microelectronics Corporation","1.88","4477498230.6","n/a","n/a","Technology","Semiconductors","https://www.nasdaq.com/symbol/umc",
"URI","United Rentals, Inc.","114.25","9002207987.75","n/a","1997","Technology","Diversified Commercial Services","https://www.nasdaq.com/symbol/uri",
"UPLD","Upland Software, Inc.","42.36","910517101.68","n/a","2014","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/upld",
"UPWK","Upwork Inc.","19.14","2042085454.2","n/a","2018","Technology","EDP Services","https://www.nasdaq.com/symbol/upwk",
"VRNS","Varonis Systems, Inc.","59.63","1787768282.23","n/a","2014","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/vrns",
"VECO","Veeco Instruments Inc.","10.84","520688657.56","n/a","1994","Technology","Industrial Machinery/Components","https://www.nasdaq.com/symbol/veco",
"VEEV","Veeva Systems Inc.","126.86","16008599140.2","n/a","2013","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/veev",
"VRNT","Verint Systems Inc.","59.86","3910806203.56","n/a","2002","Technology","EDP Services","https://www.nasdaq.com/symbol/vrnt",
"VRSN","VeriSign, Inc.","181.56","21735446140.44","n/a","1998","Technology","EDP Services","https://www.nasdaq.com/symbol/vrsn",
"VRSK","Verisk Analytics, Inc.","133","21746767490","n/a","2009","Technology","EDP Services","https://www.nasdaq.com/symbol/vrsk",
"VERI","Veritone, Inc.","5.2","102456738.8","n/a","2017","Technology","EDP Services","https://www.nasdaq.com/symbol/veri",
"VSAT","ViaSat, Inc.","77.5","4687297882.5","n/a","1996","Technology","Radio And Television Broadcasting And Communications Equipment","https://www.nasdaq.com/symbol/vsat",
"VIAV","Viavi Solutions Inc.","12.38","2822595654.84","n/a","n/a","Technology","Semiconductors","https://www.nasdaq.com/symbol/viav",
"VRTU","Virtusa Corporation","53.45","1599260346","n/a","2007","Technology","EDP Services","https://www.nasdaq.com/symbol/vrtu",
"VMW","Vmware, Inc.","180.51","74138164650","n/a","2007","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/vmw",
"VISI","Volt Information Sciences, Inc.","4.7","99597841","n/a","n/a","Technology","Professional Services","https://www.nasdaq.com/symbol/visi",
"VUZI","Vuzix Corporation","3.06","84449626.02","n/a","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","https://www.nasdaq.com/symbol/vuzi",
"WSTG","Wayside Technology Group, Inc.","11.15","50342183.1","n/a","n/a","Technology","Retail: Computer Software & Peripheral Equipment","https://www.nasdaq.com/symbol/wstg",
"WB","Weibo Corporation","61.99","4623668524.71","74587329","2014","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/wb",
"WBT","Welbilt, Inc.","16.38","2304577629.9","n/a","2016","Technology","Industrial Machinery/Components","https://www.nasdaq.com/symbol/wbt",
"WDC","Western Digital Corporation","48.06","13978296080.28","n/a","n/a","Technology","Electronic Components","https://www.nasdaq.com/symbol/wdc",
"WYY","WidePoint Corporation","0.4548","38254340.4408","n/a","n/a","Technology","EDP Services","https://www.nasdaq.com/symbol/wyy",
"WIT","Wipro Limited","3.98","23929098036.2","n/a","n/a","Technology","EDP Services","https://www.nasdaq.com/symbol/wit",
"WIX","Wix.com Ltd.","120.83","5665524163.7","n/a","2013","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/wix",
"WDAY","Workday, Inc.","192.85","30277450000","n/a","n/a","Technology","EDP Services","https://www.nasdaq.com/symbol/wday",
"WK","Workiva Inc.","50.7","2246247884.4","n/a","2014","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/wk",
"WPP","WPP plc","52.8","13324857955.2","n/a","n/a","Technology","Advertising","https://www.nasdaq.com/symbol/wpp",
"XRX","Xerox Corporation","31.98","7307639532.96","n/a","n/a","Technology","Computer peripheral equipment","https://www.nasdaq.com/symbol/xrx",
"XLNX","Xilinx, Inc.","126.79","32098650247.05","n/a","1990","Technology","Semiconductors","https://www.nasdaq.com/symbol/xlnx",
"XPER","Xperi Corporation","23.4","1149247288.8","n/a","n/a","Technology","Semiconductors","https://www.nasdaq.com/symbol/xper",
"XNET","Xunlei Limited","3.66","142401892.86","38907621","2014","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/xnet",
"YNDX","Yandex N.V.","34.34","11139822649.76","n/a","2011","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/yndx",
"YEXT","Yext, Inc.","21.86","2235137804.26","n/a","2017","Technology","EDP Services","https://www.nasdaq.com/symbol/yext",
"YY","YY Inc.","84.01","4159541176.53","49512453","2012","Technology","EDP Services","https://www.nasdaq.com/symbol/yy",
"ZBRA","Zebra Technologies Corporation","209.53","11287485236.41","n/a","1991","Technology","Industrial Machinery/Components","https://www.nasdaq.com/symbol/zbra",
"ZDGE","Zedge, Inc.","1.78","17486654.14","n/a","2016","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/zdge",
"ZEN","Zendesk, Inc.","85","9210504375","n/a","2014","Technology","EDP Services","https://www.nasdaq.com/symbol/zen",
"ZIXI","Zix Corporation","6.88","372134198.24","n/a","n/a","Technology","EDP Services","https://www.nasdaq.com/symbol/zixi",
"ZS","Zscaler, Inc.","70.93","8805753590.21","n/a","2018","Technology","EDP Services","https://www.nasdaq.com/symbol/zs",
"ZUO","Zuora, Inc.","20.03","2173307078","n/a","2018","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/zuo",
"ZNGA","Zynga Inc.","5.33","4933692790.91","n/a","2011","Technology","EDP Services","https://www.nasdaq.com/symbol/znga",
